RegionID,SizeRank,RegionName,RegionType,State,City,Metro,CountyName,10_31_2023,11_30_2023,12_31_2023,1_31_2024,March292024
71043,3514,30324,zip,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,675866.1327,679431.8823,681135.5436,681284.3773,681938
71196,3531,30549,zip,GA,Jefferson,"Jefferson, GA",Jackson County,386024.756,387353.3507,388501.5481,389801.143,391807
71626,3567,31705,zip,GA,Albany,"Albany, GA",Dougherty County,80706.34856,81115.84324,80973.53308,81108.70439,81650
70815,3583,30030,zip,GA,Decatur,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,669520.5685,673805.9807,676792.3883,677656.5689,678782
70978,3611,30240,zip,GA,Lagrange,"LaGrange, GA-AL",Troup County,227047.0065,228698.5954,229689.0261,230447.3065,231556
71058,3711,30340,zip,GA,,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,376939.4471,378264.5461,378980.1526,379133.3155,380111
71507,3725,31322,zip,GA,Pooler,"Savannah, GA",Chatham County,341818.6876,343682.3679,345271.8176,346525.719,347799
71302,3776,30741,zip,GA,Rossville,"Chattanooga, TN-GA",Walker County,184686.7056,185563.474,186425.3674,187414.6181,188355
70960,3778,30214,zip,GA,Fayetteville,"Atlanta-Sandy Springs-Alpharetta, GA",Fayette County,381419.9259,381033.8734,380601.22,380412.3945,381465
70899,3790,30122,zip,GA,Lithia Springs,"Atlanta-Sandy Springs-Alpharetta, GA",Douglas County,282882.0602,283601.9603,284083.4891,284078.2021,284610
70867,3854,30088,zip,GA,Stone Mountain,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,252190.6069,251941.2178,252243.9063,252414.3025,253142
71471,4013,31206,zip,GA,Macon,"Macon-Bibb County, GA",Bibb County,71467.14088,71301.98071,70952.64909,70423.63938,70073
71469,4050,31204,zip,GA,Macon,"Macon-Bibb County, GA",Bibb County,110068.8224,109829.8543,109711.6486,109380.5702,109319
71656,4074,31763,zip,GA,Leesburg,"Albany, GA",Lee County,236777.6989,237201.4939,237440.1692,237838.107,238517
71030,4087,30310,zip,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,282797.0413,283940.6185,285272.2851,287000.2415,288721
